Cohort ID	Likelihood Weights	Mortality Prob
0	1.37527837061e-33	0.133404400941
1	1.03777215752e-05	0.194064898688
2	7.92303738148e-244	0.0500228749635
3	1.53963819356e-80	0.110466514526
4	5.8227801454e-150	0.0793511781634
5	1.20395710976e-171	0.0684677189538
6	2.04065798007e-118	0.0872520422755
7	1.95544919971e-52	0.119112145409
8	3.0492016872e-38	0.129353494846
9	2.1775692068e-22	0.157763346801
10	1.47737843489e-30	0.133838902881
11	0.00209186068351	0.187043900079
12	7.82517440022e-115	0.0908904499463
13	0.00544723161031	0.225623487278
14	5.47445024546e-210	0.0554775186396
15	0.000169319331207	0.184093502036
16	5.4820567373e-39	0.133460960473
17	3.79999212455e-15	0.161737965689
18	1.27973768592e-159	0.078077387719
19	8.20430451593e-126	0.089620297817
20	0.00837913285845	0.210148913735
21	1.1992850355e-07	0.243652315144
22	3.39699183639e-61	0.112684835632
23	0.000207159934206	0.188464523134
24	0.00496722647506	0.225277830459
25	0.00192130755158	0.228921332701
26	9.62295708151e-208	0.067008842274
27	7.30286385618e-209	0.0578109566466
28	5.65233497257e-117	0.0839660839129
29	0.00166094139921	0.225628500686
30	1.47389948845e-173	0.0696693667666
31	1.50388123375e-48	0.134221525001
32	8.09763323275e-08	0.24157790603
33	1.86778150555e-19	0.156633056995
34	0.00338818123216	0.18837542279
35	8.63004683661e-72	0.113103126201
36	1.09049844018e-08	0.187300185536
37	0.00965317277479	0.216925134379
38	1.96311023132e-237	0.0536576554688
39	0.00102307129569	0.200028862989
40	3.61008178843e-08	0.247772217781
41	0.00252478886403	0.199633130876
42	1.22743960063e-76	0.106088798413
43	0.00220910521642	0.20785586569
44	4.70261825998e-156	0.0706452013155
45	7.14285160345e-38	0.139578705235
46	0.00544723161031	0.231719100619
47	1.27020229994e-66	0.108722829675
48	1.28299108872e-64	0.107555067717
49	3.58126326289e-155	0.0760057144237
50	1.52983666983e-221	0.0538733915741
51	4.43884820074e-07	0.185767106588
52	7.09674352272e-102	0.0923256232
53	6.55904124353e-87	0.103109331874
54	2.26941686644e-27	0.148314631856
55	2.1883410923e-180	0.0606725090234
56	7.58436243051e-14	0.164823521098
57	4.17151960599e-135	0.0793457149812
58	5.49971483936e-17	0.167861107381
59	3.60867308306e-05	0.189951672004
60	2.70353630406e-154	0.0704668857656
61	2.00108603017e-44	0.132811197564
62	0.000442310636376	0.188880031546
63	1.83867658161e-46	0.132835853905
64	1.32015545097e-192	0.0599906917892
65	6.0282904051e-19	0.157179281183
66	8.81444653496e-08	0.182758929044
67	1.88277282368e-26	0.152977822412
68	4.0851938712e-06	0.238918951198
